,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
7826,ca,f,bachelor,131.04,30130.0,110.0,0.0,personal auto,suv,528.0
7827,az,f,college,24.37,0.0,65.0,0.0,personal auto,two-door car,149.24
7828,nv,m,high school or below,93.51,0.0,275.0,1.0,corporate auto,luxury suv,1980.0
7829,or,f,high school or below,90.36,34337.0,113.0,0.0,corporate auto,four-door car,542.4
7830,ca,m,high school or below,172.51,22276.0,111.0,1.0,personal auto,suv,783.21
7831,ca,m,college,25.49,52980.0,64.0,0.0,personal auto,four-door car,191.95
7832,ca,f,bachelor,89.55,97736.0,74.0,0.0,personal auto,four-door car,60.09
7833,wa,f,college,24.68,0.0,67.0,0.0,corporate auto,two-door car,222.9
7834,wa,f,high school or below,77.01,0.0,73.0,1.0,corporate auto,four-door car,792.87
7835,nv,f,college,37.77,68727.0,94.0,0.0,corporate auto,two-door car,386.52
7836,nv,m,bachelor,80.45,71391.0,67.0,0.0,personal auto,four-door car,284.0
7837,ca,f,college,50.3,62271.0,63.0,0.0,personal auto,four-door car,25.48
7838,ca,m,high school or below,199.58,0.0,187.0,0.0,personal auto,luxury car,1346.4
7839,ca,f,high school or below,61.8,0.0,86.0,0.0,corporate auto,four-door car,412.8
7840,wa,f,bachelor,56.78,0.0,76.0,0.0,personal auto,four-door car,364.8
7841,wa,m,college,40.89,28506.0,104.0,0.0,personal auto,suv,499.2
7842,az,f,high school or below,31.43,0.0,86.0,0.0,personal auto,four-door car,412.8
7843,ca,f,bachelor,228.95,0.0,94.0,0.0,corporate auto,four-door car,676.8
7844,ca,f,doctor,55.87,94161.0,69.0,0.0,personal auto,four-door car,108.99
7845,or,m,college,121.05,33345.0,102.0,0.0,personal auto,suv,694.08
7846,ca,f,college,119.72,64195.0,158.0,4.0,personal auto,suv,618.29
7847,or,f,college,153.28,0.0,138.0,0.0,corporate auto,suv,688.83
7848,or,f,bachelor,54.24,67414.0,68.0,0.0,personal auto,four-door car,148.78
7849,az,m,high school or below,49.82,33176.0,63.0,0.0,corporate auto,four-door car,302.4
7850,or,f,bachelor,146.35,0.0,139.0,0.0,personal auto,suv,667.2
7851,or,m,college,68.63,56779.0,86.0,0.0,corporate auto,four-door car,435.39
7852,ca,m,college,137.45,40810.0,114.0,0.0,personal auto,suv,780.38
7853,nv,m,high school or below,81.12,30622.0,68.0,0.0,corporate auto,four-door car,326.4
7854,or,m,doctor,227.12,14119.0,67.0,0.0,special auto,two-door car,68.02
7855,or,f,college,566.76,77237.0,283.0,0.0,personal auto,luxury suv,1358.4
7856,nv,f,college,81.61,24980.0,71.0,0.0,personal auto,two-door car,511.2
7857,nv,f,high school or below,39.19,66676.0,97.0,0.0,corporate auto,four-door car,558.1
7858,ca,f,high school or below,72.86,0.0,69.0,1.0,personal auto,four-door car,669.72
7859,or,m,high school or below,75.9,0.0,69.0,0.0,personal auto,four-door car,331.2
7860,az,f,bachelor,90.32,0.0,82.0,0.0,personal auto,four-door car,157.21
7861,ca,m,bachelor,55.56,41853.0,71.0,0.0,personal auto,two-door car,155.51
7862,nv,f,bachelor,82.58,23815.0,73.0,0.0,personal auto,four-door car,424.33
7863,ca,m,bachelor,27.22,22885.0,73.0,0.0,corporate auto,four-door car,386.25
7864,nv,m,high school or below,52.3,32630.0,66.0,0.0,personal auto,four-door car,202.96
7865,ca,f,college,62.74,18577.0,86.0,0.0,personal auto,four-door car,412.8
7866,or,m,high school or below,58.66,75952.0,73.0,0.0,personal auto,two-door car,350.4
7867,nv,m,bachelor,88.02,96390.0,73.0,0.0,corporate auto,two-door car,316.98
7868,ca,f,college,87.23,25680.0,73.0,0.0,personal auto,two-door car,332.41
7869,nv,m,bachelor,81.79,0.0,112.0,0.0,personal auto,four-door car,806.4
7870,nv,m,high school or below,432.17,51504.0,220.0,0.0,personal auto,luxury suv,2552.34
7871,or,m,high school or below,24.42,0.0,74.0,3.0,personal auto,four-door car,532.8
7872,ca,f,master,29.2,41456.0,73.0,0.0,personal auto,four-door car,257.38
7873,nv,m,high school or below,63.66,44368.0,80.0,0.0,personal auto,two-door car,384.0
7874,or,f,master,171.14,70961.0,85.0,0.0,corporate auto,four-door car,408.0
7875,or,f,doctor,23.96,21986.0,63.0,0.0,personal auto,two-door car,333.7
7876,or,f,college,29.88,0.0,83.0,0.0,corporate auto,four-door car,708.69
7877,az,f,master,127.8,33514.0,105.0,0.0,personal auto,sports car,265.22
7878,az,f,college,39.07,60230.0,98.0,0.0,personal auto,four-door car,8.13
7879,ca,m,high school or below,25.95,0.0,70.0,1.0,corporate auto,four-door car,494.2
7880,wa,m,college,52.68,40818.0,66.0,0.0,personal auto,four-door car,316.8
7881,or,m,college,90.95,37937.0,116.0,0.0,personal auto,suv,556.8
7882,az,f,college,71.22,64571.0,89.0,0.0,corporate auto,four-door car,452.12
7883,ca,m,bachelor,91.17,0.0,126.0,0.0,corporate auto,suv,421.91
7884,ca,m,college,410.75,21988.0,209.0,0.0,personal auto,luxury car,1003.2
7885,az,m,high school or below,34.87,0.0,95.0,0.0,corporate auto,four-door car,684.0
7886,or,m,bachelor,72.98,24672.0,93.0,0.0,personal auto,two-door car,669.6
7887,or,m,high school or below,25.02,0.0,74.0,1.0,corporate auto,four-door car,355.2
7888,ca,m,bachelor,99.55,0.0,96.0,0.0,personal auto,four-door car,460.8
7889,or,m,bachelor,70.94,72878.0,61.0,2.0,corporate auto,two-door car,45.46
7890,or,m,college,122.81,88340.0,102.0,0.0,personal auto,two-door car,489.6
7891,or,m,bachelor,57.74,52278.0,73.0,0.0,personal auto,two-door car,235.0
7892,ca,f,college,49.05,12902.0,139.0,0.0,personal auto,sports car,667.2
7893,az,m,college,34.24,99816.0,86.0,0.0,corporate auto,two-door car,172.91
7894,az,f,college,26.89,26554.0,68.0,1.0,personal auto,two-door car,391.69
7895,ca,m,high school or below,31.09,77485.0,77.0,0.0,corporate auto,four-door car,355.91
7896,or,m,college,224.25,22537.0,64.0,1.0,corporate auto,four-door car,307.2
7897,ca,f,high school or below,57.06,76522.0,71.0,0.0,personal auto,four-door car,340.8
7898,or,f,college,20.63,0.0,64.0,3.0,personal auto,four-door car,602.91
7899,or,f,master,50.97,22886.0,65.0,0.0,special auto,four-door car,312.0
7900,or,m,high school or below,41.02,0.0,115.0,0.0,personal auto,two-door car,552.0
7901,or,m,high school or below,25.38,25506.0,65.0,0.0,personal auto,two-door car,312.0
7902,nv,m,high school or below,36.52,0.0,110.0,0.0,personal auto,suv,1265.39
7903,ca,f,college,100.14,0.0,98.0,1.0,personal auto,two-door car,705.6
7904,or,m,high school or below,67.59,0.0,191.0,0.0,personal auto,luxury car,2042.57
7905,or,f,college,52.06,0.0,72.0,0.0,personal auto,two-door car,345.6
7906,or,f,high school or below,28.48,96357.0,71.0,1.0,personal auto,four-door car,238.25
7907,ca,m,college,115.13,16266.0,100.0,0.0,special auto,suv,1177.32
7908,az,m,high school or below,75.88,76516.0,95.0,0.0,personal auto,two-door car,661.01
7909,az,f,college,23.89,20484.0,61.0,0.0,personal auto,four-door car,181.22
7910,ca,f,master,50.67,40215.0,64.0,0.0,personal auto,four-door car,98.48
7911,ca,m,bachelor,368.61,22854.0,122.0,0.0,special auto,sports car,878.4
7912,ca,f,high school or below,39.62,0.0,118.0,1.0,corporate auto,suv,264.64
7913,ca,f,high school or below,84.77,55217.0,107.0,2.0,personal auto,two-door car,696.12
7914,ca,m,college,101.11,76276.0,86.0,0.0,corporate auto,two-door car,93.31
7915,wa,f,college,24.76,47918.0,62.0,0.0,corporate auto,two-door car,246.26
7916,ca,f,bachelor,44.63,0.0,73.0,3.0,corporate auto,two-door car,350.4
7917,az,m,college,31.41,43499.0,80.0,0.0,personal auto,four-door car,529.49
7918,or,m,high school or below,24.96,0.0,72.0,0.0,corporate auto,two-door car,518.4
7919,az,f,college,68.61,0.0,71.0,3.0,personal auto,two-door car,476.2
7920,or,m,bachelor,49.83,21497.0,128.0,0.0,personal auto,sports car,614.4
7921,az,m,high school or below,22.27,27972.0,61.0,0.0,personal auto,four-door car,292.8
7922,nv,f,master,96.7,20942.0,84.0,0.0,personal auto,four-door car,403.2
7923,or,f,bachelor,50.89,0.0,71.0,0.0,corporate auto,four-door car,511.2
7924,wa,f,high school or below,70.95,74298.0,177.0,0.0,corporate auto,sports car,161.54
7925,ca,f,college,54.38,23339.0,138.0,0.0,corporate auto,suv,666.31
7926,az,f,college,50.34,77031.0,125.0,0.0,personal auto,suv,600.0
7927,or,m,college,140.2,31739.0,71.0,0.0,personal auto,two-door car,469.88
7928,nv,m,high school or below,48.78,0.0,66.0,0.0,personal auto,two-door car,420.39
7929,wa,f,bachelor,34.49,25236.0,89.0,0.0,personal auto,four-door car,427.2
7930,or,f,college,37.72,0.0,103.0,1.0,personal auto,suv,685.23
7931,or,m,bachelor,58.25,40964.0,74.0,0.0,special auto,two-door car,355.2
7932,or,f,doctor,43.8,40896.0,109.0,0.0,personal auto,sports car,319.29
7933,or,m,bachelor,57.93,95733.0,72.0,0.0,corporate auto,two-door car,475.42
7934,ca,f,high school or below,27.26,39161.0,71.0,3.0,personal auto,four-door car,340.8
7935,az,m,master,57.91,84551.0,72.0,0.0,personal auto,four-door car,28.93
7936,nv,f,bachelor,85.02,12843.0,111.0,0.0,corporate auto,four-door car,1143.49
7937,az,f,college,24.77,71551.0,62.0,0.0,personal auto,four-door car,297.6
7938,az,m,bachelor,24.27,0.0,71.0,0.0,corporate auto,four-door car,511.2
7939,or,f,high school or below,58.98,77835.0,74.0,1.0,personal auto,four-door car,43.62
7940,wa,f,bachelor,46.17,16764.0,61.0,0.0,personal auto,four-door car,292.8
7941,nv,m,high school or below,125.21,39007.0,105.0,0.0,personal auto,two-door car,1023.84
7942,wa,f,master,90.8,20290.0,113.0,0.0,personal auto,suv,766.52
7943,az,f,high school or below,77.77,46182.0,65.0,0.0,corporate auto,two-door car,2.57
7944,or,f,college,56.02,11920.0,74.0,0.0,personal auto,four-door car,355.2
7945,az,m,high school or below,34.59,97162.0,86.0,0.0,personal auto,four-door car,32.72
7946,az,m,college,90.62,42743.0,117.0,1.0,personal auto,suv,101.29
7947,or,f,college,68.66,0.0,64.0,0.0,personal auto,two-door car,40.45
7948,ca,f,college,26.6,0.0,87.0,3.0,personal auto,four-door car,420.04
7949,or,m,college,123.33,85789.0,105.0,2.0,personal auto,sports car,122.3
7950,ca,m,high school or below,211.72,0.0,82.0,0.0,personal auto,four-door car,588.27
7951,or,m,high school or below,36.78,31349.0,93.0,0.0,corporate auto,four-door car,446.4
7952,or,m,college,98.17,37256.0,62.0,0.0,personal auto,four-door car,128.97
7953,az,f,bachelor,49.22,0.0,69.0,0.0,personal auto,four-door car,331.2
7954,ca,f,high school or below,75.84,0.0,102.0,0.0,personal auto,sports car,848.16
7955,or,f,college,26.86,58166.0,67.0,0.0,personal auto,four-door car,91.91
7956,wa,f,college,41.33,0.0,63.0,1.0,personal auto,four-door car,453.6
7957,az,m,bachelor,86.23,97361.0,73.0,0.0,personal auto,four-door car,350.4
7958,wa,m,high school or below,152.53,51937.0,193.0,0.0,personal auto,luxury car,850.39
7959,or,f,college,42.78,75921.0,106.0,0.0,personal auto,suv,609.68
7960,ca,f,high school or below,200.97,92766.0,71.0,0.0,personal auto,two-door car,379.03
7961,or,f,college,47.71,12964.0,65.0,0.0,personal auto,two-door car,362.77
7962,or,f,college,70.26,48117.0,88.0,0.0,corporate auto,four-door car,422.4
7963,ca,f,bachelor,82.65,0.0,77.0,0.0,corporate auto,two-door car,554.4
7964,wa,m,high school or below,245.53,0.0,118.0,1.0,personal auto,suv,966.54
7965,or,m,high school or below,44.08,66152.0,111.0,0.0,corporate auto,suv,532.8
7966,az,m,high school or below,24.82,31093.0,64.0,0.0,personal auto,four-door car,274.96
7967,az,f,high school or below,38.59,0.0,107.0,1.0,personal auto,suv,513.6
7968,ca,f,high school or below,115.72,0.0,166.0,0.0,special auto,sports car,1195.2
7969,ca,f,college,36.45,19121.0,95.0,0.0,personal auto,four-door car,915.19
7970,or,m,bachelor,43.63,0.0,65.0,0.0,personal auto,four-door car,468.0
7971,or,f,high school or below,104.26,68563.0,131.0,1.0,personal auto,suv,350.1
7972,nv,m,high school or below,70.25,24726.0,92.0,1.0,personal auto,four-door car,150.69
7973,az,f,college,73.89,0.0,97.0,0.0,personal auto,four-door car,638.37
7974,ca,m,bachelor,29.28,51991.0,73.0,0.0,personal auto,four-door car,124.38
7975,ca,m,bachelor,83.56,0.0,118.0,0.0,personal auto,suv,153.18
7976,or,m,high school or below,87.18,89096.0,111.0,0.0,personal auto,suv,64.98
7977,or,f,high school or below,352.27,23031.0,148.0,0.0,special auto,suv,710.4
7978,az,m,bachelor,86.98,29540.0,73.0,0.0,personal auto,four-door car,350.4
7979,ca,f,master,35.55,58557.0,88.0,0.0,personal auto,four-door car,55.51
7980,or,m,college,28.18,88816.0,70.0,0.0,personal auto,two-door car,164.28
7981,ca,f,bachelor,190.46,0.0,61.0,0.0,personal auto,four-door car,439.2
7982,ca,f,high school or below,28.94,61809.0,72.0,0.0,personal auto,two-door car,328.0
7983,ca,m,college,144.4,58452.0,186.0,0.0,corporate auto,luxury car,892.8
7984,or,f,college,51.22,57161.0,127.0,0.0,personal auto,sports car,609.6
7985,az,m,college,22.18,0.0,65.0,0.0,personal auto,four-door car,111.87
7986,ca,f,high school or below,28.62,90083.0,71.0,0.0,personal auto,two-door car,181.69
7987,ca,f,high school or below,59.8,57693.0,76.0,0.0,personal auto,four-door car,547.2
7988,nv,m,college,73.77,0.0,69.0,0.0,personal auto,four-door car,331.2
7989,ca,m,high school or below,63.66,44368.0,80.0,0.0,personal auto,two-door car,384.0
7990,or,m,college,86.58,68727.0,72.0,0.0,personal auto,four-door car,171.48
7991,or,f,master,117.26,40564.0,97.0,0.0,personal auto,four-door car,85.97
7992,nv,m,high school or below,57.8,51066.0,74.0,0.0,personal auto,four-door car,787.99
7993,or,m,high school or below,100.59,0.0,92.0,0.0,personal auto,two-door car,640.23
7994,wa,f,college,70.73,90551.0,61.0,4.0,corporate auto,four-door car,374.53
7995,wa,f,college,47.87,0.0,67.0,0.0,personal auto,four-door car,321.6
7996,ca,m,bachelor,30.13,21353.0,80.0,0.0,personal auto,four-door car,576.0
7997,ca,m,high school or below,34.72,0.0,102.0,0.0,personal auto,four-door car,976.11
7998,or,f,college,53.81,55350.0,67.0,0.0,personal auto,four-door car,321.6
7999,nv,m,bachelor,382.3,80321.0,105.0,0.0,corporate auto,suv,166.97
8000,ca,f,bachelor,55.26,94230.0,137.0,0.0,special auto,suv,657.6
8001,az,m,bachelor,48.83,53305.0,63.0,0.0,corporate auto,two-door car,302.4
8002,ca,m,college,142.03,55593.0,182.0,1.0,corporate auto,luxury car,677.64
8003,or,f,bachelor,57.45,0.0,165.0,0.0,personal auto,sports car,1853.2
8004,az,f,college,96.02,0.0,94.0,0.0,personal auto,two-door car,676.8
8005,az,m,bachelor,32.0,0.0,87.0,0.0,personal auto,four-door car,132.49
8006,az,m,high school or below,27.58,22158.0,74.0,0.0,personal auto,four-door car,355.2
8007,or,f,bachelor,27.25,81605.0,67.0,0.0,personal auto,two-door car,424.22
8008,wa,m,master,55.5,62219.0,69.0,0.0,personal auto,two-door car,243.24
8009,ca,m,bachelor,26.19,15587.0,71.0,0.0,special auto,two-door car,136.03
8010,nv,f,doctor,62.65,0.0,84.0,1.0,corporate auto,four-door car,481.03
8011,ca,m,college,123.13,0.0,116.0,0.0,personal auto,two-door car,835.2
8012,or,m,high school or below,105.52,28505.0,88.0,0.0,personal auto,four-door car,422.4
8013,az,m,high school or below,120.22,25918.0,104.0,0.0,personal auto,suv,996.78
8014,nv,m,high school or below,92.95,0.0,261.0,0.0,corporate auto,luxury car,2759.79
8015,or,m,bachelor,74.41,34137.0,62.0,0.0,personal auto,two-door car,297.6
8016,wa,m,bachelor,103.03,21839.0,137.0,0.0,personal auto,sports car,657.6
8017,ca,m,college,35.09,20978.0,98.0,1.0,personal auto,four-door car,1176.28
8018,or,f,college,57.61,83392.0,71.0,0.0,personal auto,four-door car,125.96
8019,nv,f,high school or below,102.81,73661.0,128.0,0.0,personal auto,suv,404.33
8020,az,m,bachelor,47.84,49793.0,121.0,0.0,personal auto,suv,640.84
8021,or,m,bachelor,21.43,0.0,65.0,0.0,corporate auto,two-door car,686.77
8022,ca,m,doctor,87.38,91890.0,107.0,0.0,personal auto,suv,156.62
8023,nv,m,high school or below,44.68,0.0,65.0,0.0,corporate auto,two-door car,468.0
8024,ca,f,bachelor,113.15,11885.0,101.0,0.0,corporate auto,four-door car,484.8
8025,az,f,bachelor,218.86,43000.0,109.0,0.0,personal auto,suv,676.81
8026,or,m,high school or below,76.82,90043.0,63.0,0.0,personal auto,four-door car,203.23
8027,ca,m,college,167.03,0.0,72.0,0.0,special auto,four-door car,345.6
8028,ca,f,bachelor,50.15,48567.0,130.0,0.0,corporate auto,suv,624.0
8029,az,f,high school or below,57.76,27510.0,159.0,3.0,corporate auto,suv,871.46
8030,nv,f,master,27.78,59124.0,70.0,2.0,personal auto,four-door car,173.43
8031,az,f,college,41.27,0.0,119.0,3.0,personal auto,sports car,856.8
8032,az,f,high school or below,66.71,56531.0,170.0,3.0,corporate auto,suv,816.0
8033,nv,f,bachelor,147.42,0.0,139.0,1.0,personal auto,suv,667.2
8034,nv,m,bachelor,383.21,45277.0,191.0,0.0,special auto,luxury suv,916.8
8035,wa,f,bachelor,20.65,0.0,65.0,3.0,personal auto,four-door car,368.83
8036,az,f,bachelor,55.04,0.0,73.0,0.0,personal auto,four-door car,350.4
8037,or,f,master,50.97,22886.0,65.0,0.0,corporate auto,four-door car,312.0
8038,wa,f,high school or below,79.95,66685.0,67.0,2.0,personal auto,two-door car,38.76
8039,or,f,college,56.74,65775.0,72.0,0.0,personal auto,four-door car,171.43
8040,az,m,doctor,28.86,52972.0,74.0,0.0,special auto,four-door car,355.2
8041,az,m,master,57.95,52979.0,72.0,0.0,personal auto,two-door car,345.6
8042,az,f,bachelor,107.07,55436.0,67.0,0.0,personal auto,four-door car,321.6
8043,or,f,college,53.21,32116.0,132.0,0.0,personal auto,suv,277.35
8044,ca,m,master,204.99,56070.0,74.0,0.0,personal auto,two-door car,87.99
8045,az,m,high school or below,46.28,0.0,62.0,0.0,personal auto,four-door car,690.55
8046,ca,f,bachelor,272.88,0.0,116.0,1.0,personal auto,suv,835.2
8047,ca,f,bachelor,40.3,93621.0,100.0,0.0,personal auto,suv,59.86
8048,or,m,bachelor,27.44,79192.0,70.0,0.0,personal auto,two-door car,336.0
8049,az,m,college,354.44,96853.0,98.0,0.0,personal auto,two-door car,565.5
8050,wa,f,master,28.59,0.0,83.0,4.0,corporate auto,four-door car,355.39
8051,ca,f,college,58.63,75121.0,73.0,0.0,corporate auto,two-door car,171.23
8052,or,f,college,40.32,0.0,117.0,0.0,personal auto,four-door car,842.4
8053,nv,f,bachelor,75.53,69959.0,63.0,0.0,personal auto,two-door car,401.84
8054,or,f,bachelor,166.99,81400.0,104.0,0.0,special auto,four-door car,499.2
8055,ca,m,high school or below,32.33,0.0,98.0,1.0,corporate auto,two-door car,705.6
8056,ca,m,bachelor,56.41,67523.0,72.0,0.0,corporate auto,two-door car,345.24
8057,ca,f,high school or below,86.79,62366.0,108.0,0.0,personal auto,four-door car,51.32
8058,ca,m,bachelor,103.4,67134.0,131.0,1.0,personal auto,sports car,277.45
8059,ca,f,college,37.47,41479.0,94.0,1.0,personal auto,two-door car,19.58
8060,ca,f,college,25.71,29697.0,66.0,4.0,personal auto,four-door car,316.8
8061,or,f,high school or below,44.28,58577.0,110.0,0.0,personal auto,suv,303.87
8062,ca,f,high school or below,74.13,0.0,106.0,0.0,personal auto,sports car,508.8
8063,wa,m,bachelor,47.69,51144.0,61.0,1.0,personal auto,two-door car,223.31
8064,az,f,high school or below,60.35,29587.0,76.0,0.0,personal auto,four-door car,422.02
8065,az,m,high school or below,162.8,0.0,157.0,0.0,personal auto,sports car,753.6
8066,ca,m,master,90.24,71499.0,112.0,0.0,corporate auto,sports car,537.6
8067,ca,f,bachelor,74.96,0.0,106.0,0.0,corporate auto,four-door car,763.2
8068,nv,m,college,125.21,0.0,126.0,0.0,personal auto,suv,907.2
8069,or,m,high school or below,25.52,75740.0,64.0,0.0,corporate auto,two-door car,128.52
8070,ca,m,master,168.88,53262.0,62.0,4.0,corporate auto,four-door car,223.72
8071,nv,f,college,30.39,75180.0,77.0,3.0,corporate auto,four-door car,154.91
8072,ca,m,high school or below,44.56,31196.0,62.0,4.0,corporate auto,two-door car,342.8
8073,az,m,bachelor,119.73,0.0,186.0,2.0,personal auto,luxury suv,1441.84
8074,or,f,bachelor,85.14,34505.0,106.0,0.0,personal auto,suv,359.86
8075,or,f,bachelor,90.85,0.0,82.0,2.0,personal auto,four-door car,146.76
8076,or,f,bachelor,240.96,0.0,97.0,0.0,personal auto,four-door car,1154.64
8077,or,m,college,90.95,37937.0,116.0,0.0,personal auto,suv,556.8
8078,or,f,college,214.18,21897.0,139.0,0.0,personal auto,suv,667.2
8079,nv,m,high school or below,107.14,55994.0,92.0,2.0,corporate auto,four-door car,441.6
8080,or,m,high school or below,99.87,24067.0,132.0,0.0,corporate auto,sports car,633.6
8081,az,f,college,79.09,43630.0,99.0,0.0,corporate auto,four-door car,475.2
8082,nv,m,college,48.7,23811.0,130.0,0.0,personal auto,suv,624.0
8083,wa,m,college,21.22,0.0,62.0,0.0,personal auto,two-door car,446.4
8084,wa,m,bachelor,63.28,0.0,100.0,2.0,personal auto,suv,648.36
8085,or,f,bachelor,43.41,0.0,124.0,0.0,personal auto,suv,595.2
8086,ca,m,bachelor,62.8,50562.0,79.0,0.0,personal auto,four-door car,545.01
8087,or,f,master,119.82,21514.0,62.0,0.0,corporate auto,two-door car,257.25
8088,ca,m,college,222.35,80355.0,187.0,1.0,corporate auto,luxury car,897.6
8089,az,f,high school or below,86.47,64125.0,108.0,0.0,personal auto,suv,369.82
8090,or,m,college,24.44,83800.0,62.0,0.0,personal auto,four-door car,196.16
8091,ca,f,college,50.7,23840.0,64.0,0.0,personal auto,four-door car,307.2
8092,wa,f,college,56.47,54834.0,72.0,0.0,corporate auto,four-door car,186.19
8093,ca,m,bachelor,133.45,80277.0,112.0,1.0,corporate auto,suv,36.98
8094,or,m,college,132.98,88430.0,66.0,1.0,personal auto,four-door car,316.8
8095,ca,f,high school or below,70.32,26255.0,88.0,0.0,personal auto,four-door car,52.75
8096,nv,m,high school or below,36.16,0.0,95.0,0.0,personal auto,four-door car,684.0
8097,az,m,college,141.2,95715.0,119.0,2.0,personal auto,four-door car,148.98
8098,or,f,high school or below,21.55,0.0,70.0,3.0,personal auto,four-door car,336.0
8099,ca,m,master,27.49,32437.0,69.0,0.0,corporate auto,two-door car,473.36
8100,ca,m,bachelor,50.87,22726.0,65.0,0.0,personal auto,four-door car,312.0
8101,az,m,bachelor,140.32,58092.0,72.0,1.0,personal auto,two-door car,202.24
8102,ca,m,college,86.56,83365.0,109.0,1.0,personal auto,suv,523.2
8103,ca,m,college,48.61,12153.0,69.0,1.0,personal auto,four-door car,438.16
8104,ca,f,bachelor,191.75,74028.0,118.0,0.0,corporate auto,suv,53.08
8105,or,m,high school or below,70.9,52707.0,90.0,1.0,corporate auto,four-door car,432.0
8106,ca,m,high school or below,68.02,47451.0,87.0,1.0,personal auto,four-door car,417.6
8107,nv,f,bachelor,23.59,19864.0,63.0,0.0,personal auto,four-door car,352.39
8108,or,f,high school or below,151.14,28513.0,100.0,1.0,personal auto,suv,480.0
8109,az,m,high school or below,29.27,26242.0,74.0,0.0,personal auto,four-door car,347.06
8110,az,f,bachelor,130.14,55067.0,110.0,1.0,personal auto,suv,353.1
8111,ca,m,college,79.02,62291.0,100.0,0.0,personal auto,sports car,480.0
8112,ca,f,bachelor,134.07,25048.0,167.0,0.0,personal auto,suv,801.6
8113,az,f,bachelor,61.07,16654.0,79.0,0.0,personal auto,four-door car,379.2
8114,wa,m,high school or below,123.22,26887.0,113.0,0.0,special auto,suv,542.4
8115,or,f,college,193.39,22784.0,70.0,0.0,personal auto,four-door car,224.9
8116,wa,m,high school or below,54.31,49345.0,69.0,0.0,personal auto,two-door car,251.08
8117,or,m,college,73.3,0.0,70.0,0.0,personal auto,four-door car,622.38
8118,ca,m,bachelor,34.84,34307.0,92.0,2.0,personal auto,four-door car,186.03
8119,or,f,college,69.64,0.0,95.0,1.0,corporate auto,four-door car,629.65
8120,nv,m,master,252.53,44096.0,72.0,1.0,personal auto,four-door car,345.6
8121,ca,m,college,25.24,43204.0,64.0,3.0,personal auto,four-door car,246.07
8122,nv,f,bachelor,173.49,0.0,92.0,0.0,personal auto,four-door car,441.6
8123,or,m,bachelor,40.59,0.0,117.0,0.0,personal auto,sports car,842.4
8124,or,f,bachelor,47.43,78596.0,118.0,0.0,personal auto,suv,133.91
8125,ca,m,bachelor,43.64,38925.0,112.0,0.0,personal auto,sports car,241.3
8126,nv,m,high school or below,90.49,0.0,119.0,0.0,personal auto,sports car,571.2
8127,ca,m,master,42.1,21885.0,108.0,0.0,corporate auto,suv,52.34
8128,ca,f,bachelor,52.41,48345.0,67.0,0.0,personal auto,four-door car,212.01
8129,ca,f,high school or below,24.82,77993.0,62.0,0.0,personal auto,four-door car,297.6
8130,or,m,master,35.86,25748.0,90.0,0.0,personal auto,four-door car,117.87
8131,ca,m,college,54.99,22520.0,73.0,0.0,personal auto,four-door car,350.4
8132,or,m,high school or below,103.77,0.0,95.0,0.0,personal auto,two-door car,579.45
8133,or,f,college,25.9,0.0,73.0,0.0,personal auto,four-door car,350.4
8134,az,m,high school or below,93.13,75986.0,115.0,0.0,personal auto,four-door car,89.12
8135,or,m,high school or below,143.96,0.0,205.0,0.0,personal auto,luxury car,1476.0
8136,or,f,college,319.21,58542.0,114.0,0.0,personal auto,suv,129.99
8137,az,m,bachelor,49.21,43640.0,64.0,2.0,personal auto,four-door car,1.21
8138,or,f,college,258.06,86901.0,72.0,0.0,personal auto,two-door car,313.37
8139,az,m,high school or below,59.64,94115.0,74.0,0.0,personal auto,four-door car,409.09
8140,ca,m,high school or below,89.23,0.0,125.0,0.0,personal auto,suv,900.0
8141,or,m,high school or below,52.15,65375.0,65.0,0.0,personal auto,four-door car,6.08
8142,ca,f,bachelor,125.23,44341.0,105.0,0.0,personal auto,sports car,355.11
8143,or,m,bachelor,138.97,24378.0,188.0,0.0,corporate auto,suv,902.4
8144,wa,f,high school or below,33.72,93489.0,84.0,0.0,corporate auto,four-door car,104.28
8145,ca,f,college,78.1,69161.0,97.0,0.0,personal auto,four-door car,341.43
8146,ca,m,high school or below,122.69,60774.0,154.0,0.0,personal auto,suv,739.2
8147,ca,m,bachelor,31.23,0.0,101.0,4.0,personal auto,suv,960.12
8148,az,f,high school or below,80.04,54008.0,67.0,0.0,personal auto,four-door car,370.5
8149,or,f,bachelor,81.06,0.0,74.0,0.0,personal auto,four-door car,232.01
8150,nv,f,high school or below,27.59,44619.0,68.0,0.0,corporate auto,four-door car,283.67
8151,or,f,college,37.07,16476.0,101.0,0.0,personal auto,four-door car,313.89
8152,ca,m,master,301.55,73359.0,94.0,0.0,corporate auto,two-door car,107.19
8153,ca,m,bachelor,81.0,25949.0,104.0,0.0,personal auto,suv,499.2
8154,ca,f,bachelor,29.21,62018.0,73.0,0.0,corporate auto,two-door car,90.09
8155,ca,m,high school or below,145.1,41433.0,183.0,0.0,personal auto,luxury car,1317.6
8156,wa,f,college,167.94,0.0,238.0,1.0,personal auto,luxury car,1142.4
8157,az,f,doctor,53.32,68931.0,66.0,0.0,personal auto,four-door car,309.58
8158,wa,f,bachelor,100.26,0.0,141.0,0.0,personal auto,suv,1015.2
