,region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
8419,central,m,college,47.18,37823.32,131.0,0.0,personal auto,suv,628.8
8420,east,m,bachelor,56.26,37823.32,85.0,0.0,corporate auto,four-door car,872.2
8421,central,f,master,51.83,83527.0,64.0,1.0,personal auto,two-door car,39.13
8422,central,m,high school or below,60.05,26876.0,76.0,0.0,personal auto,four-door car,364.8
8423,central,f,high school or below,98.38,55099.0,122.0,0.0,corporate auto,sports car,260.27
8424,central,f,college,52.06,71661.0,65.0,0.0,personal auto,four-door car,312.0
8425,north west,m,bachelor,362.93,18047.0,242.0,0.0,personal auto,luxury suv,1350.38
8426,east,m,college,28.37,90893.0,70.0,0.0,personal auto,two-door car,70.71
8427,central,m,college,117.85,90016.0,102.0,4.0,personal auto,four-door car,20.41
8428,west region,m,bachelor,31.25,81285.0,81.0,2.0,personal auto,four-door car,441.77
8429,central,f,bachelor,138.62,96950.0,115.0,0.0,personal auto,sports car,633.13
8430,west region,m,doctor,82.0,24814.0,69.0,0.0,special auto,two-door car,331.2
8431,north west,f,high school or below,84.56,37823.32,90.0,3.0,corporate auto,two-door car,648.0
8432,central,m,bachelor,21.24,37823.32,61.0,1.0,personal auto,two-door car,60.6
8433,north west,f,master,90.45,52572.0,113.0,0.0,personal auto,four-door car,441.62
8434,central,m,doctor,31.87,37823.32,85.0,0.0,corporate auto,two-door car,595.16
8435,west region,f,high school or below,81.14,41701.0,68.0,0.0,corporate auto,four-door car,64.65
8436,north west,m,college,340.39,37823.32,104.0,0.0,personal auto,sports car,499.2
8437,central,m,high school or below,90.88,37823.32,80.0,0.0,corporate auto,four-door car,384.0
8438,west region,m,bachelor,125.2,34179.0,107.0,0.0,corporate auto,sports car,770.4
8440,central,m,bachelor,49.67,37823.32,73.0,0.0,corporate auto,four-door car,359.35
8441,east,f,bachelor,69.33,37823.32,70.0,1.0,personal auto,four-door car,504.0
8442,east,f,high school or below,223.99,78494.0,69.0,0.0,personal auto,two-door car,78.19
8443,central,f,college,21.62,37823.32,66.0,2.0,personal auto,two-door car,316.8
8444,north west,m,bachelor,217.77,56044.0,182.0,0.0,personal auto,suv,952.85
8446,central,f,high school or below,42.28,77853.0,106.0,0.0,personal auto,suv,165.24
8447,central,f,college,65.21,72608.0,82.0,3.0,personal auto,four-door car,393.6
8448,west region,m,high school or below,102.09,36568.0,128.0,0.0,personal auto,suv,978.62
8449,central,m,high school or below,76.0,37823.32,110.0,2.0,personal auto,suv,796.99
8450,east,f,bachelor,38.95,59578.0,98.0,1.0,corporate auto,four-door car,403.68
8451,north west,m,high school or below,85.11,26032.0,109.0,0.0,personal auto,suv,638.1
8452,north west,m,high school or below,27.13,39618.0,68.0,0.0,corporate auto,four-door car,326.4
8453,central,m,high school or below,22.59,37823.32,65.0,0.0,personal auto,four-door car,625.48
8454,west region,m,college,48.16,59438.0,124.0,0.0,special auto,suv,562.67
8456,east,m,bachelor,30.09,37823.32,87.0,0.0,personal auto,four-door car,401.48
8457,east,f,bachelor,25.31,89451.0,63.0,0.0,personal auto,four-door car,61.77
8458,central,m,high school or below,107.87,44695.0,91.0,0.0,personal auto,four-door car,147.95
8459,west region,f,high school or below,119.24,24581.0,101.0,0.0,personal auto,four-door car,484.8
8460,central,m,bachelor,51.86,37823.32,73.0,1.0,personal auto,four-door car,194.94
8461,central,f,bachelor,101.04,72334.0,129.0,3.0,corporate auto,suv,412.83
8462,north west,m,high school or below,64.39,19831.0,83.0,0.0,personal auto,four-door car,398.4
8463,west region,m,high school or below,39.1,40361.0,98.0,0.0,personal auto,four-door car,71.17
8464,west region,m,bachelor,132.11,74656.0,111.0,0.0,personal auto,four-door car,504.37
8465,north west,m,master,146.16,25358.0,126.0,0.0,personal auto,suv,750.59
8466,west region,m,bachelor,37.32,35461.0,95.0,1.0,corporate auto,four-door car,9.21
8467,west region,m,doctor,87.51,59047.0,76.0,3.0,personal auto,four-door car,364.8
8468,central,f,college,106.63,62409.0,89.0,0.0,personal auto,four-door car,392.69
8469,west region,f,college,38.61,93272.0,95.0,0.0,personal auto,four-door car,281.11
8470,west region,f,college,98.08,37823.32,135.0,0.0,personal auto,sports car,970.46
8471,north west,m,bachelor,32.53,20166.0,83.0,0.0,personal auto,two-door car,398.4
8472,east,f,high school or below,27.12,37823.32,74.0,0.0,personal auto,four-door car,355.2
8473,west region,m,bachelor,24.54,29735.0,69.0,0.0,personal auto,four-door car,331.2
8474,west region,m,high school or below,112.28,37823.32,64.0,0.0,corporate auto,four-door car,772.84
8475,west region,f,high school or below,230.21,97460.0,114.0,0.0,personal auto,suv,660.14
8476,central,m,college,24.58,57564.0,63.0,1.0,personal auto,two-door car,302.4
8477,central,f,bachelor,111.6,33232.0,94.0,0.0,special auto,four-door car,435.53
8478,central,f,college,131.19,11854.0,113.0,0.0,personal auto,four-door car,807.72
8479,west region,f,college,61.2,23843.0,79.0,0.0,personal auto,four-door car,344.69
8480,central,f,college,138.81,17961.0,181.0,0.0,personal auto,sports car,476.71
8481,west region,f,college,47.87,37823.32,64.0,0.0,personal auto,four-door car,360.11
8482,central,f,college,81.77,54695.0,103.0,0.0,personal auto,suv,494.4
8483,west region,m,college,33.09,85632.0,82.0,0.0,personal auto,two-door car,7.26
8484,west region,f,bachelor,146.35,37823.32,139.0,0.0,personal auto,suv,667.2
8485,west region,f,high school or below,51.21,37823.32,76.0,4.0,personal auto,four-door car,277.22
8486,north west,f,high school or below,192.53,39895.0,160.0,0.0,personal auto,suv,765.59
8487,east,f,bachelor,66.47,95815.0,82.0,0.0,personal auto,four-door car,393.6
8488,west region,f,high school or below,87.42,37224.0,74.0,0.0,personal auto,four-door car,355.2
8489,west region,m,bachelor,84.67,37823.32,122.0,0.0,personal auto,suv,1100.09
8490,central,f,college,69.93,94652.0,86.0,0.0,personal auto,four-door car,412.8
8491,central,f,bachelor,130.37,28582.0,112.0,0.0,personal auto,sports car,537.6
8492,central,f,high school or below,108.84,91123.0,138.0,3.0,corporate auto,suv,103.46
8493,central,m,bachelor,91.14,85942.0,116.0,2.0,personal auto,four-door car,79.34
8494,central,f,high school or below,304.43,64321.0,253.0,0.0,personal auto,luxury suv,422.44
8495,central,m,doctor,51.04,77025.0,64.0,2.0,personal auto,two-door car,380.92
8496,north west,m,high school or below,21.74,16997.0,65.0,3.0,personal auto,two-door car,468.0
8497,west region,m,bachelor,98.9,52408.0,125.0,0.0,personal auto,sports car,179.13
8498,west region,m,bachelor,87.19,37823.32,116.0,1.0,personal auto,four-door car,556.8
8499,central,m,bachelor,85.17,37573.0,112.0,3.0,corporate auto,suv,537.6
8500,central,f,high school or below,116.07,45893.0,97.0,0.0,personal auto,two-door car,465.6
8501,west region,f,high school or below,37.32,37823.32,96.0,0.0,corporate auto,four-door car,460.8
8502,central,m,college,33.03,29385.0,88.0,2.0,personal auto,two-door car,422.4
8503,west region,m,college,88.89,21509.0,81.0,1.0,personal auto,two-door car,413.49
8504,central,f,bachelor,81.74,68144.0,70.0,4.0,personal auto,four-door car,336.0
8505,central,m,bachelor,49.24,31093.0,63.0,0.0,personal auto,four-door car,302.4
8506,central,m,high school or below,28.24,24350.0,73.0,3.0,corporate auto,four-door car,350.4
8507,east,m,college,78.24,32823.0,100.0,0.0,personal auto,suv,480.0
8508,east,m,college,83.12,44843.0,105.0,0.0,personal auto,suv,391.42
8509,north west,f,master,53.85,59364.0,67.0,0.0,corporate auto,four-door car,321.6
8510,north west,m,college,39.79,39101.0,99.0,0.0,personal auto,four-door car,167.17
8511,west region,m,high school or below,62.38,37823.32,90.0,1.0,personal auto,two-door car,432.0
8512,east,f,high school or below,69.7,27604.0,92.0,1.0,corporate auto,two-door car,441.6
8513,west region,f,high school or below,50.24,91603.0,64.0,5.0,personal auto,four-door car,307.2
8514,east,f,master,84.14,59828.0,104.0,0.0,personal auto,suv,499.2
8515,central,m,college,28.02,33247.0,72.0,0.0,special auto,four-door car,284.96
8516,west region,m,college,50.11,45867.0,126.0,0.0,personal auto,sports car,604.8
8517,west region,f,college,49.98,54827.0,64.0,0.0,personal auto,four-door car,132.95
8518,west region,f,bachelor,22.36,37823.32,64.0,3.0,corporate auto,two-door car,307.2
8519,central,m,bachelor,109.35,47170.0,139.0,0.0,corporate auto,sports car,667.2
8520,west region,f,bachelor,32.89,21947.0,83.0,0.0,personal auto,four-door car,366.91
8521,north west,f,college,140.14,39018.0,117.0,0.0,personal auto,suv,561.6
8522,central,m,master,56.04,20252.0,71.0,0.0,personal auto,four-door car,198.23
8523,north west,m,bachelor,29.12,37823.32,88.0,0.0,personal auto,four-door car,633.6
8524,north west,m,master,56.17,48602.0,70.0,0.0,corporate auto,two-door car,487.88
8525,west region,f,bachelor,75.05,97849.0,62.0,0.0,special auto,four-door car,183.12
8527,north west,f,bachelor,29.6,69746.0,74.0,0.0,personal auto,four-door car,225.03
8528,west region,m,bachelor,77.26,96748.0,96.0,0.0,personal auto,two-door car,460.8
8529,north west,m,bachelor,132.49,25074.0,112.0,0.0,personal auto,two-door car,537.6
8530,central,m,master,27.18,66463.0,68.0,0.0,personal auto,two-door car,326.4
8531,east,m,high school or below,27.34,34865.0,69.0,0.0,corporate auto,four-door car,255.95
8532,west region,m,college,91.99,37399.0,116.0,0.0,personal auto,four-door car,392.83
8533,west region,m,college,290.5,21070.0,195.0,0.0,corporate auto,sports car,1404.0
8534,north west,f,bachelor,49.57,31562.0,66.0,4.0,personal auto,four-door car,316.8
8535,west region,f,master,55.75,54684.0,71.0,2.0,personal auto,four-door car,487.07
8536,north west,m,high school or below,91.93,37388.0,117.0,0.0,corporate auto,suv,561.6
8537,central,f,bachelor,38.79,84981.0,96.0,0.0,personal auto,four-door car,4.72
8538,central,m,master,44.19,24046.0,116.0,0.0,personal auto,two-door car,556.8
8539,west region,m,high school or below,47.73,20993.0,133.0,0.0,personal auto,suv,638.4
8540,north west,m,college,91.02,48029.0,116.0,0.0,personal auto,suv,556.8
8541,central,m,bachelor,76.09,16233.0,197.0,0.0,personal auto,luxury car,1418.4
8542,central,m,college,26.69,30718.0,67.0,1.0,personal auto,two-door car,321.6
8543,north west,m,high school or below,51.42,60277.0,65.0,0.0,personal auto,four-door car,146.39
8544,west region,m,bachelor,74.51,37823.32,107.0,0.0,personal auto,suv,770.4
8545,central,m,bachelor,26.2,31911.0,68.0,0.0,personal auto,four-door car,245.89
8546,central,f,bachelor,49.1,61402.0,62.0,0.0,personal auto,two-door car,252.16
8547,west region,f,college,80.23,34335.0,101.0,0.0,corporate auto,two-door car,484.8
8548,central,m,college,204.47,71467.0,86.0,0.0,personal auto,two-door car,324.88
8549,east,m,college,49.67,37823.32,74.0,0.0,personal auto,four-door car,532.8
8550,east,m,high school or below,35.49,36168.0,90.0,0.0,personal auto,four-door car,432.0
8551,north west,f,college,53.5,58357.0,137.0,2.0,personal auto,sports car,708.22
8552,west region,m,college,80.65,29692.0,77.0,0.0,personal auto,four-door car,449.35
8553,north west,m,high school or below,78.93,29215.0,67.0,0.0,personal auto,four-door car,327.66
8554,north west,f,high school or below,45.41,37823.32,61.0,0.0,personal auto,two-door car,486.12
8555,east,m,high school or below,28.53,26841.0,74.0,1.0,personal auto,four-door car,418.53
8556,central,f,bachelor,107.2,34837.0,139.0,1.0,personal auto,suv,667.2
8557,central,f,bachelor,47.95,33068.0,61.0,1.0,personal auto,four-door car,213.04
8558,east,f,college,51.82,44820.0,133.0,3.0,personal auto,sports car,336.13
8559,central,f,bachelor,226.21,49564.0,193.0,0.0,corporate auto,sports car,286.37
8560,central,m,college,23.21,19581.0,61.0,0.0,personal auto,four-door car,377.24
8561,north west,m,high school or below,77.15,37823.32,74.0,0.0,corporate auto,two-door car,532.8
8562,north west,m,bachelor,78.8,23129.0,70.0,0.0,personal auto,four-door car,491.65
8563,east,m,bachelor,90.3,37823.32,138.0,0.0,personal auto,suv,1376.96
8564,central,f,high school or below,69.65,25411.0,86.0,0.0,personal auto,four-door car,242.81
8565,central,f,high school or below,151.14,28513.0,100.0,1.0,personal auto,suv,480.0
8566,north west,m,high school or below,225.24,69346.0,63.0,1.0,special auto,two-door car,246.28
8567,north west,f,high school or below,107.6,74835.0,133.0,0.0,corporate auto,suv,107.65
8568,north west,f,master,58.09,43282.0,72.0,0.0,personal auto,two-door car,166.8
8569,central,f,bachelor,305.92,11276.0,91.0,1.0,corporate auto,four-door car,436.8
8570,central,m,college,22.2,37823.32,62.0,2.0,personal auto,four-door car,311.51
8571,north west,m,bachelor,49.14,10037.0,71.0,0.0,personal auto,four-door car,292.18
8573,central,f,doctor,55.23,85609.0,136.0,0.0,personal auto,suv,652.8
8574,north west,m,college,158.09,86347.0,130.0,0.0,personal auto,sports car,593.78
8575,north west,f,college,28.27,20368.0,72.0,0.0,corporate auto,four-door car,345.6
8576,west region,f,master,54.22,25778.0,68.0,0.0,corporate auto,two-door car,20.14
8577,central,f,high school or below,25.15,43860.0,65.0,0.0,corporate auto,four-door car,156.12
8578,north west,m,college,51.58,93303.0,65.0,0.0,corporate auto,four-door car,40.76
8579,north west,m,high school or below,48.75,67467.0,61.0,0.0,personal auto,two-door car,365.88
8580,central,m,high school or below,41.98,30598.0,106.0,0.0,personal auto,suv,508.8
8581,central,f,college,53.81,55350.0,67.0,0.0,personal auto,four-door car,321.6
8582,west region,f,high school or below,134.67,11432.0,119.0,0.0,corporate auto,suv,571.2
8583,north west,m,college,24.24,27093.0,61.0,0.0,personal auto,four-door car,292.8
8584,central,m,bachelor,38.24,37823.32,108.0,0.0,personal auto,suv,777.6
8585,north west,f,high school or below,138.83,37823.32,197.0,0.0,corporate auto,luxury car,1418.4
8586,north west,f,college,24.39,38961.0,62.0,0.0,corporate auto,two-door car,297.6
8587,north west,f,doctor,340.9,51840.0,94.0,0.0,corporate auto,two-door car,33.75
8588,central,m,bachelor,28.4,79181.0,72.0,0.0,personal auto,four-door car,241.28
8589,north west,m,bachelor,241.28,14072.0,71.0,0.0,special auto,four-door car,511.2
8590,west region,m,college,75.96,56225.0,97.0,0.0,personal auto,four-door car,465.6
8591,east,m,high school or below,150.96,14909.0,199.0,0.0,personal auto,luxury car,1238.08
8592,central,m,high school or below,60.05,26876.0,76.0,0.0,personal auto,four-door car,364.8
8593,north west,m,college,34.55,68401.0,88.0,0.0,personal auto,four-door car,242.25
8594,central,f,college,57.29,29730.0,72.0,0.0,personal auto,four-door car,463.21
8595,north west,f,high school or below,51.63,35577.0,130.0,0.0,personal auto,suv,574.51
8596,west region,m,master,26.03,41958.0,66.0,1.0,corporate auto,four-door car,206.82
8597,north west,f,master,326.43,77915.0,115.0,0.0,personal auto,four-door car,552.0
8598,north west,f,bachelor,27.9,15514.0,74.0,0.0,corporate auto,four-door car,355.2
8599,central,f,college,112.5,29505.0,284.0,0.0,personal auto,luxury car,1979.44
8600,west region,f,college,165.11,31356.0,68.0,0.0,personal auto,two-door car,326.4
8601,west region,f,college,76.08,31456.0,199.0,0.0,personal auto,luxury suv,436.7
8602,central,f,high school or below,56.04,95284.0,69.0,0.0,personal auto,four-door car,327.65
8603,central,m,high school or below,66.74,37823.32,98.0,0.0,personal auto,two-door car,931.65
8604,east,f,bachelor,40.49,62864.0,104.0,0.0,personal auto,two-door car,171.21
8605,north west,m,college,49.58,22842.0,65.0,0.0,personal auto,four-door car,468.0
8606,west region,f,bachelor,78.5,67186.0,66.0,0.0,personal auto,four-door car,184.94
8607,central,m,high school or below,63.83,37823.32,87.0,0.0,personal auto,four-door car,417.6
8608,north west,f,college,57.37,68946.0,71.0,0.0,personal auto,four-door car,309.63
8609,north west,f,bachelor,76.88,56680.0,100.0,2.0,personal auto,suv,480.0
8610,central,f,high school or below,48.73,18866.0,126.0,0.0,personal auto,suv,604.8
8611,west region,f,high school or below,28.25,82875.0,70.0,0.0,personal auto,four-door car,455.34
8612,central,f,college,37.22,37823.32,109.0,2.0,personal auto,suv,523.2
8613,west region,f,bachelor,55.36,84863.0,138.0,0.0,corporate auto,suv,691.7
8614,west region,f,college,47.28,37823.32,127.0,0.0,personal auto,suv,609.6
8615,west region,m,bachelor,23.79,54753.0,61.0,0.0,personal auto,four-door car,292.8
8616,west region,f,college,93.38,76381.0,116.0,0.0,special auto,two-door car,556.8
8617,west region,m,bachelor,61.9,59523.0,78.0,1.0,personal auto,four-door car,343.79
8618,central,f,bachelor,56.38,56017.0,71.0,0.0,corporate auto,four-door car,52.0
8619,central,m,master,52.64,14306.0,74.0,3.0,corporate auto,four-door car,355.06
8620,central,f,bachelor,40.36,21359.0,101.0,0.0,personal auto,sports car,484.8
8621,central,f,bachelor,41.17,86101.0,102.0,0.0,personal auto,suv,344.74
8622,east,m,bachelor,83.82,25998.0,71.0,0.0,personal auto,four-door car,791.88
8623,west region,f,master,24.35,64341.0,61.0,0.0,personal auto,four-door car,79.93
8624,west region,f,high school or below,65.99,36060.0,165.0,0.0,special auto,sports car,774.56
8625,north west,m,high school or below,53.54,61894.0,67.0,0.0,personal auto,four-door car,267.0
8626,north west,m,high school or below,67.48,26721.0,65.0,3.0,personal auto,four-door car,312.0
8627,central,f,bachelor,74.12,59940.0,94.0,0.0,personal auto,four-door car,303.1
8628,east,m,master,55.12,45971.0,138.0,0.0,special auto,suv,139.83
8629,north west,m,bachelor,40.15,80055.0,100.0,0.0,corporate auto,suv,121.95
8630,central,m,college,77.72,58345.0,98.0,0.0,personal auto,four-door car,346.97
8631,north west,f,college,46.39,37823.32,71.0,3.0,personal auto,two-door car,143.28
8632,north west,m,bachelor,105.08,76549.0,132.0,0.0,personal auto,suv,616.35
8633,central,f,master,175.57,36212.0,73.0,0.0,personal auto,two-door car,119.03
8634,west region,f,bachelor,91.04,37823.32,131.0,0.0,personal auto,sports car,628.8
8635,west region,m,high school or below,131.11,73597.0,114.0,5.0,personal auto,suv,485.18
8636,west region,f,high school or below,80.06,63762.0,99.0,0.0,personal auto,four-door car,108.16
8637,west region,m,bachelor,68.07,32787.0,86.0,0.0,personal auto,two-door car,568.58
8638,west region,f,bachelor,26.28,94962.0,67.0,4.0,personal auto,two-door car,321.6
8639,north west,f,high school or below,90.96,37823.32,256.0,0.0,personal auto,luxury car,1943.77
8640,west region,f,college,50.16,73809.0,125.0,0.0,special auto,suv,537.32
8642,west region,m,high school or below,30.59,37823.32,88.0,0.0,personal auto,four-door car,989.2
8643,north west,f,college,41.23,75272.0,103.0,0.0,personal auto,suv,71.65
8644,central,f,master,26.21,39278.0,66.0,0.0,personal auto,four-door car,65.59
8645,north west,m,bachelor,49.39,36913.0,62.0,0.0,personal auto,four-door car,90.57
8646,west region,m,bachelor,46.91,37823.32,74.0,1.0,personal auto,four-door car,407.22
8647,west region,m,college,60.06,13528.0,86.0,0.0,personal auto,four-door car,412.8
8648,west region,m,bachelor,49.42,37823.32,137.0,0.0,personal auto,suv,986.4
8649,east,f,bachelor,22.54,37823.32,65.0,1.0,personal auto,four-door car,768.8
8650,central,f,high school or below,25.54,37823.32,72.0,0.0,corporate auto,four-door car,405.8
8651,central,m,doctor,81.24,12617.0,108.0,0.0,personal auto,suv,648.93
8652,north west,f,high school or below,190.79,42754.0,65.0,4.0,personal auto,two-door car,279.72
8653,north west,m,college,104.62,37823.32,155.0,0.0,corporate auto,sports car,1116.0
8654,west region,f,high school or below,46.69,76157.0,116.0,0.0,personal auto,two-door car,556.8
8655,north west,f,bachelor,49.04,37823.32,66.0,0.0,personal auto,four-door car,469.61
8656,north west,m,high school or below,833.25,58958.0,231.0,0.0,personal auto,luxury car,1108.8
8657,north west,f,bachelor,80.09,37823.32,107.0,0.0,personal auto,suv,740.96
8658,north west,f,bachelor,238.96,37823.32,98.0,0.0,personal auto,four-door car,705.6
8659,north west,f,high school or below,77.32,34430.0,65.0,0.0,personal auto,two-door car,184.96
8660,north west,m,high school or below,94.16,13411.0,127.0,0.0,personal auto,suv,609.6
8661,west region,m,bachelor,59.24,73758.0,74.0,0.0,personal auto,four-door car,301.56
8662,west region,f,high school or below,38.33,37823.32,116.0,2.0,personal auto,sports car,1397.95
8663,north west,m,bachelor,284.32,17130.0,198.0,0.0,special auto,luxury suv,950.4
8664,east,f,college,55.54,37823.32,92.0,3.0,personal auto,four-door car,662.4
8665,north west,f,high school or below,100.37,37823.32,134.0,1.0,personal auto,suv,1353.29
8666,central,m,bachelor,65.76,10517.0,92.0,0.0,personal auto,four-door car,441.54
8668,west region,m,college,78.74,22355.0,71.0,3.0,personal auto,four-door car,340.8
8669,east,f,high school or below,130.21,37823.32,223.0,5.0,personal auto,luxury car,1605.6
8670,central,f,bachelor,44.92,21137.0,61.0,1.0,personal auto,four-door car,292.8
8671,north west,f,bachelor,66.5,37823.32,99.0,2.0,personal auto,four-door car,712.8
8672,west region,m,high school or below,110.94,78255.0,95.0,0.0,personal auto,four-door car,456.0
8673,central,f,bachelor,51.07,35625.0,65.0,1.0,special auto,four-door car,288.57
8674,west region,f,college,73.34,87957.0,61.0,0.0,personal auto,four-door car,308.32
8675,north west,f,college,49.97,25915.0,64.0,0.0,corporate auto,two-door car,317.98
8676,west region,m,college,86.59,62464.0,109.0,0.0,corporate auto,sports car,400.18
8677,west region,m,high school or below,96.58,37823.32,131.0,0.0,corporate auto,suv,628.8
8678,west region,m,high school or below,61.77,49529.0,78.0,0.0,personal auto,two-door car,234.72
8679,west region,f,bachelor,28.67,23376.0,78.0,0.0,personal auto,four-door car,374.4
8680,west region,m,college,28.21,37823.32,81.0,0.0,personal auto,four-door car,583.2
8681,central,m,college,28.44,67952.0,71.0,0.0,personal auto,two-door car,167.41
8682,west region,m,college,117.9,25251.0,66.0,0.0,corporate auto,four-door car,316.8
8683,central,f,high school or below,77.86,20497.0,65.0,0.0,personal auto,four-door car,425.36
8684,west region,m,high school or below,123.15,68420.0,104.0,1.0,personal auto,four-door car,499.2
8685,central,f,college,48.11,24711.0,122.0,0.0,personal auto,sports car,260.0
8686,west region,f,college,272.79,76530.0,119.0,4.0,personal auto,suv,254.15
8687,west region,m,high school or below,39.8,98333.0,99.0,1.0,personal auto,four-door car,459.05
8689,north west,f,college,37.62,37823.32,106.0,1.0,personal auto,four-door car,1116.94
8690,central,m,high school or below,56.2,37823.32,153.0,0.0,personal auto,suv,1027.0
8691,central,m,bachelor,53.05,37823.32,74.0,0.0,personal auto,four-door car,532.8
8692,north west,m,bachelor,32.07,24695.0,82.0,0.0,personal auto,four-door car,393.6
8693,west region,m,bachelor,86.98,26287.0,111.0,0.0,personal auto,two-door car,279.38
8694,west region,m,college,87.17,83846.0,74.0,3.0,personal auto,four-door car,355.2
8695,east,f,high school or below,80.3,76081.0,68.0,0.0,personal auto,four-door car,384.21
8696,north west,m,college,47.63,14957.0,66.0,0.0,corporate auto,four-door car,316.8
8697,east,m,high school or below,230.56,41727.0,117.0,1.0,personal auto,four-door car,82.26
8698,central,f,college,53.84,89092.0,68.0,2.0,personal auto,two-door car,91.82
8699,east,f,college,84.1,53986.0,70.0,1.0,corporate auto,four-door car,127.89
8700,north west,f,bachelor,42.57,49853.0,109.0,0.0,personal auto,four-door car,679.53
8701,north west,m,high school or below,147.09,36670.0,189.0,0.0,corporate auto,luxury car,907.2
8702,central,m,bachelor,25.94,43626.0,67.0,0.0,personal auto,two-door car,321.6
8703,east,f,high school or below,24.67,37823.32,70.0,0.0,special auto,four-door car,504.0
8704,west region,f,college,79.34,76505.0,65.0,0.0,personal auto,four-door car,144.05
8705,west region,f,college,368.61,66216.0,103.0,0.0,personal auto,sports car,96.72
8706,north west,f,college,74.12,52497.0,63.0,0.0,corporate auto,two-door car,302.4
8707,central,f,high school or below,346.11,20090.0,109.0,0.0,personal auto,sports car,523.2
8708,north west,f,high school or below,187.26,37823.32,185.0,2.0,personal auto,suv,1543.93
8709,west region,f,bachelor,72.49,37751.0,93.0,0.0,corporate auto,four-door car,56.69
8710,north west,f,college,81.93,54840.0,72.0,3.0,corporate auto,four-door car,468.73
8711,north west,f,college,86.92,31986.0,111.0,0.0,personal auto,four-door car,532.8
8712,central,m,college,97.99,22166.0,126.0,0.0,personal auto,suv,604.8
8713,west region,m,bachelor,140.84,37823.32,208.0,0.0,corporate auto,luxury car,2270.51
8714,west region,m,high school or below,131.04,37823.32,130.0,0.0,personal auto,sports car,1430.55
8715,north west,f,master,26.29,83838.0,65.0,0.0,personal auto,two-door car,281.41
8716,north west,f,master,52.46,46061.0,65.0,0.0,personal auto,two-door car,21.61
8717,north west,m,college,80.93,50825.0,102.0,0.0,personal auto,suv,369.61
8719,east,f,high school or below,54.45,20282.0,79.0,3.0,personal auto,two-door car,507.55
8720,west region,m,bachelor,45.14,50146.0,116.0,1.0,personal auto,suv,759.29
8721,east,m,high school or below,220.29,37823.32,121.0,0.0,personal auto,suv,580.8
8722,west region,f,bachelor,54.09,20472.0,139.0,0.0,corporate auto,suv,667.2
8723,north west,f,master,37.68,85751.0,93.0,0.0,corporate auto,four-door car,391.21
8724,west region,f,high school or below,279.35,76912.0,116.0,2.0,corporate auto,sports car,169.23
8725,central,m,master,38.87,96335.0,97.0,0.0,personal auto,four-door car,161.39
8726,east,f,bachelor,74.76,29633.0,196.0,0.0,corporate auto,luxury car,534.65
8727,west region,m,master,227.59,80540.0,63.0,0.0,personal auto,four-door car,65.85
8728,central,f,high school or below,51.25,14465.0,135.0,1.0,corporate auto,sports car,944.51
8729,east,f,bachelor,49.0,37823.32,66.0,0.0,personal auto,four-door car,316.8
8730,north west,f,master,52.79,29899.0,66.0,0.0,personal auto,four-door car,419.3
8731,east,m,college,48.22,37823.32,136.0,0.0,personal auto,suv,652.8
8734,west region,m,high school or below,185.92,14209.0,62.0,0.0,personal auto,four-door car,297.6
8735,north west,m,high school or below,48.73,47824.0,129.0,3.0,personal auto,suv,546.05
8736,central,f,doctor,53.39,48696.0,66.0,0.0,corporate auto,four-door car,48.76
8737,east,f,bachelor,28.79,79189.0,71.0,0.0,personal auto,two-door car,56.09
8738,west region,f,high school or below,84.73,37823.32,116.0,2.0,special auto,sports car,1148.46
8739,central,f,bachelor,34.4,23870.0,91.0,0.0,personal auto,two-door car,500.58
8740,west region,m,college,174.98,37823.32,73.0,0.0,personal auto,two-door car,350.4
8741,west region,f,bachelor,25.44,41059.0,64.0,0.0,corporate auto,four-door car,151.67
8742,north west,m,high school or below,33.36,19447.0,89.0,0.0,corporate auto,four-door car,640.8
8743,east,m,bachelor,52.06,94392.0,65.0,1.0,personal auto,four-door car,156.18
8744,central,m,college,432.9,23203.0,132.0,0.0,personal auto,suv,1158.79
8745,east,m,college,48.18,38157.0,61.0,0.0,personal auto,two-door car,81.53
8746,north west,m,college,137.28,37823.32,126.0,0.0,personal auto,suv,604.8
8747,north west,m,high school or below,49.97,99761.0,63.0,0.0,corporate auto,two-door car,452.25
8748,north west,f,college,79.6,98350.0,101.0,3.0,corporate auto,suv,289.18
8749,north west,f,high school or below,73.68,25318.0,63.0,2.0,personal auto,four-door car,302.4
8750,central,f,bachelor,56.33,51721.0,139.0,0.0,personal auto,suv,625.28
8751,central,f,bachelor,38.85,37823.32,114.0,0.0,personal auto,sports car,851.03
8752,west region,m,bachelor,45.18,37823.32,78.0,3.0,personal auto,four-door car,374.4
8753,west region,m,college,25.65,68321.0,66.0,0.0,personal auto,four-door car,198.26
8754,central,m,bachelor,154.87,69161.0,129.0,0.0,personal auto,sports car,441.14
8755,north west,f,bachelor,63.95,72667.0,80.0,0.0,personal auto,four-door car,383.23
8756,north west,m,high school or below,86.39,62082.0,72.0,0.0,corporate auto,four-door car,91.04
8757,central,f,high school or below,98.06,37823.32,87.0,0.0,personal auto,four-door car,626.4
8758,west region,f,bachelor,124.72,36551.0,107.0,0.0,personal auto,four-door car,53.84
8759,north west,m,bachelor,57.95,70524.0,73.0,0.0,personal auto,four-door car,350.4
